갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2002,,,2019,신정동,"30,000",학마을3,1,0,1,84.72,,,1291,11470,12
,2016,,,2019,신정동,"58,700",목동힐스테이트,1,0,2,59.95,,,1323,11470,7
,1988,,,2019,신정동,"45,000",목동신시가지14,1,0,2,71.4,,,329,11470,11
,2000,,,2019,신정동,"20,500",학마을1단지,1,19,2,49.99,,,1293,11470,8
,1988,,,2019,신정동,"38,000",목동신시가지12,1,0,2,71.64,,,326,11470,15
,1987,,,2019,신정동,"31,000",목동신시가지8,1,0,2,54.94,,,314,11470,6
,2017,,,2019,신정동,"1,000",경동미르웰,1,51,2,14.02,,,972-2,11470,6
,1999,,,2019,신정동,"24,000",신트리1,1,0,3,49.95,,,1259,11470,15
,1988,,,2019,신정동,"35,000",목동신시가지14,1,50,3,83.89,,,329,11470,20
,2004,,,2019,신정동,"46,000",대림e-편한세상,1,0,3,109.905,,,1303,11470,18
,2003,,,2019,신정동,"2,000",명지해드는터,1,30,3,84.98,,,1300,11470,18
,2003,,,2019,신정동,"2,000",명지해드는터,1,30,3,84.98,,,1300,11470,18
,2004,,,2019,신정동,"80,000",목동삼성쉐르빌Ⅱ,1,"1,000",3,164.98,,,318-12,11470,9
,1999,,,2019,신정동,"23,000",신트리1,1,0,3,49.95,,,1259,11470,2
,1988,,,2019,신정동,"23,000",목동신시가지11,1,0,4,51.48,,,325,11470,6
,1988,,,2019,신정동,"20,000",목동신시가지12,1,45,4,71.64,,,326,11470,13
,1999,,,2019,신정동,"30,000",신트리1,1,0,4,59.73,,,1259,11470,6
,1987,,,2019,신정동,"31,000",목동신시가지9,1,0,4,53.82,,,312,11470,12
,1988,,,2019,신정동,"23,500",목동신시가지11,1,0,4,59.29,,,325,11470,5
,1999,,,2019,신정동,"23,000",신트리1,1,0,4,49.95,,,1259,11470,14
,2005,,,2019,신정동,"22,000",신정동경남아너스빌2차,1,0,4,43.57,,,294-70,11470,7
,1988,,,2019,신정동,"26,000",목동신시가지11,1,0,4,51.48,,,325,11470,7
,1987,,,2019,신정동,"48,000",목동신시가지9,1,0,4,71.37,,,312,11470,12
,1987,,,2019,신정동,"63,000",목동신시가지9,1,0,4,90.72,,,312,11470,1
,1987,,,2019,신정동,"45,000",목동신시가지9,1,0,4,71.37,,,312,11470,11
,2004,,,2019,신정동,"51,500",경남아너스빌,1,0,4,84.73,,,1307,11470,4
,2019,,,2019,신정동,"71,000",목동파크자이(101동~108동),1,0,5,84.993,,,1325,11470,10
,2002,,,2019,신정동,"30,000",아이파크,1,50,5,59.82,,,1296,11470,4
,1988,,,2019,신정동,"28,500",목동신시가지12,1,0,5,56.76,,,326,11470,2
,2000,,,2019,신정동,"40,000",목동우성2,1,0,5,84.96,,,337,11470,12
,2001,,,2019,신정동,"33,000",푸른마을3,1,0,5,84.93,,,1283,11470,13
,1988,,,2019,신정동,"31,000",목동신시가지10,1,0,5,53.82,,,311,11470,11
,1987,,,2019,신정동,"55,000",목동신시가지10,1,50,5,127.21,,,311,11470,10
,1988,,,2019,신정동,"53,000",목동신시가지14,1,0,5,83.89,,,329,11470,5
,2003,,,2019,신정동,"45,000",명지해드는터,1,70,5,84.98,,,1300,11470,7
,1988,,,2019,신정동,"28,000",목동신시가지11,1,0,5,51.48,,,325,11470,2
,1988,,,2019,신정동,"34,000",목동신시가지11,1,0,5,66.24,,,325,11470,7
,1988,,,2019,신정동,"38,000",목동신시가지12,1,0,5,71.64,,,326,11470,14
,1988,,,2019,신정동,"25,000",목동신시가지12,1,0,5,56.76,,,326,11470,5
,1987,,,2019,신정동,"29,500",목동신시가지8,1,0,5,54.94,,,314,11470,18
,1987,,,2019,신정동,"35,000",목동신시가지9,1,0,5,53.82,,,312,11470,11
,1992,,,2019,신정동,"50,000",청구,1,0,5,84.99,,,336,11470,10
,2001,,,2019,신정동,"23,000",푸른마을3,1,0,5,59.99,,,1283,11470,5
,2000,,,2019,신정동,"22,000",학마을1단지,1,0,5,49.99,,,1293,11470,14
,2019,,,2019,신정동,"59,000",목동파크자이(101동~108동),1,0,5,84.977,,,1325,11470,7
,1987,,,2019,신정동,"32,000",목동신시가지14,1,0,6,55.02,,,329,11470,15
,1988,,,2019,신정동,"10,000",목동신시가지12,1,50,7,56.76,,,326,11470,3
,2001,,,2019,신정동,"28,000",푸른마을2,1,0,7,59.85,,,1281,11470,6
,1988,,,2019,신정동,"42,000",목동신시가지10,1,0,7,70.2,,,311,11470,9
,1988,,,2019,신정동,"53,000",목동신시가지14,1,0,7,84.84,,,329,11470,6
